algo,size(bytes),avg_proc_time(ms),std_err(ms),std_dev(ms)
shamir,108000,0.4517,0.0024,0.0167
shamir,109000,0.4597,0.0030,0.0212
shamir,110000,0.4638,0.0026,0.0182
shamir,111000,0.4652,0.0024,0.0172
shamir,112000,0.4713,0.0027,0.0189
shamir,113000,0.4833,0.0034,0.0237
shamir,114000,0.4836,0.0028,0.0200
shamir,115000,0.4876,0.0029,0.0202
shamir,116000,0.4912,0.0029,0.0208
shamir,117000,0.4965,0.0030,0.0215
shamir,118000,0.5040,0.0031,0.0217
shamir,119000,0.5273,0.0052,0.0364
shamir,120000,0.5086,0.0029,0.0202
shamir,121000,0.5119,0.0034,0.0238
shamir,122000,0.5137,0.0029,0.0203
shamir,123000,0.5185,0.0025,0.0174
shamir,124000,0.5217,0.0027,0.0191
shamir,125000,0.5290,0.0033,0.0230
shamir,126000,0.5285,0.0026,0.0183
shamir,127000,0.5331,0.0026,0.0183
shamir,128000,0.5351,0.0030,0.0209
shamir,129000,0.5394,0.0024,0.0167
shamir,130000,0.5441,0.0019,0.0136
shamir,131000,0.5480,0.0025,0.0179
shamir,132000,0.5476,0.0023,0.0159
shamir,133000,0.5568,0.0027,0.0190
shamir,134000,0.5577,0.0023,0.0160
shamir,135000,0.5747,0.0036,0.0255
shamir,136000,0.5678,0.0025,0.0176
